,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
219,Riyadh,   حي المهدية ,East,227,0,5,5,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55000
220,Riyadh,   حي اليرموك ,West,313,6,5,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,65000
221,Riyadh,   حي الملقا ,East,488,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,250000
222,Riyadh,   حي قرطبة ,North,360,10,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,75000
223,Riyadh,   حي السليمانية ,North,300,15,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,90000
224,Riyadh,   حي الرمال ,North,350,0,5,5,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,45000
225,Riyadh,   حي العارض ,North,290,0,5,5,2,1,1,1,1,1,1,0,0,1,0,0,1,1,0,170000
226,Riyadh,   حي المونسية ,West,420,3,4,4,2,1,1,0,0,0,1,0,1,1,0,0,1,0,1,90000
227,Riyadh,   حي الملقا ,North,250,5,3,5,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,155000
228,Riyadh,   حي العارض ,North,430,2,5,5,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,65000
229,Riyadh,   حي النرجس ,South,267,3,3,5,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,100000
230,Riyadh,   حي النزهة ,Northeast,640,12,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,220000
231,Riyadh,   حي الرائد ,North,312,0,5,5,2,1,1,1,1,0,1,0,0,1,1,0,1,0,0,120000
233,Riyadh,   حي العارض ,South,250,0,3,5,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,110000
234,Riyadh,   حي القادسية ,South,300,0,6,4,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,55000
235,Riyadh,   حي الرائد ,West,750,20,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,165000
